Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000000
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000000
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000000
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000000
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000000
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_2_113,VGND,li1,57.7300,16.3200,0.000000
FILLER_2_109,VGND,li1,56.5800,16.3200,0.000000
FILLER_2_97,VGND,li1,52.9000,16.3200,0.000000
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000000
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000000
FILLER_2_77,VGND,li1,42.3200,16.3200,0.000000
FILLER_2_65,VGND,li1,38.1800,16.3200,0.000000
FILLER_2_53,VGND,li1,32.6600,16.3200,0.000000
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000000
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000000
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000000
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000000
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000000
FILLER_1_113,VGND,li1,57.7300,16.3200,0.000000
FILLER_1_111,VGND,li1,56.8100,16.3200,0.000000
FILLER_1_105,VGND,li1,55.2000,16.3200,0.000000
FILLER_1_93,VGND,li1,51.0600,16.3200,0.000000
FILLER_1_81,VGND,li1,45.5400,16.3200,0.000000
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000000
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000000
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000000
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000000
FILLER_1_39,VGND,li1,26.2200,16.3200,0.000000
FILLER_1_27,VGND,li1,20.7000,16.3200,0.000000
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000000
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000000
FILLER_0_113,VGND,li1,57.7300,10.8800,0.000001
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000001
FILLER_0_97,VGND,li1,52.9000,10.8800,0.000001
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000001
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000001
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000001
FILLER_0_63,VGND,li1,35.1900,10.8800,0.000002
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000002
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000002
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000002
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000001
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000001
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000001
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000001
ANTENNA_input2_A,VGND,li1,8.7400,32.6400,0.000001
ANTENNA_input1_A,VGND,li1,8.7400,38.0800,0.000000
clb_4,VGND,li1,36.5700,10.8800,0.000002
